what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1457300470670
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1457300470672
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1457300470673
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1457300470676
os,sysinfo,,,"macosx",1457300470680
arch,sysinfo,,,"x86_64",1457300470680
ws,sysinfo,,,"cocoa",1457300470680
locale,sysinfo,,,"en_US",1457300470680
processors,sysinfo,,,"4",1457300470680
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1457300470680
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1457300470680
java.specification.name,sysinfo,,,"Java Platform API Specification",1457300470680
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457300470680
java.specification.version,sysinfo,,,"1.6",1457300470680
java.vendor,sysinfo,,,"Apple Inc.",1457300470680
java.version,sysinfo,,,"1.6.0_65",1457300470680
java.vm.info,sysinfo,,,"mixed mode",1457300470680
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1457300470680
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1457300470680
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457300470680
java.vm.specification.version,sysinfo,,,"1.0",1457300470680
java.vm.vendor,sysinfo,,,"Apple Inc.",1457300470680
java.vm.version,sysinfo,,,"20.65-b04-468",1457300470680
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457300475256
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1457300476124
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1457300476135
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1457300476228
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1457300482019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457300513866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457300520579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457300664282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457301090389
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1457301092136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457301093140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457301094182
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457301094401
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1457301094799
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1457301095044
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1457301095049
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1457301095058
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1457301095062
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1457301095067
